!!SBtab	SBtabVersion=’1.0’	TableType=’Reaction’	TableName=’K. brasiliensis SBTab Reaction Table’
!ID	!ReactionFormula	!Identifiers:kegg.reaction	!Identifiers:biocyc	!Gene:Symbol	!IsReversible
sbtabreact1	C00006 + C04076 + C00001 <=> C00080 + C00005 + C00956	R03103		testGeneSymbol1	True
sbtabreact2	C04076 + C00003 + C00001 <=> C00080 + C00004 + C00956	R03102		testGeneSymbol2	True
sbtabreact3	C00041 + C00062 + C00152 + C00049 + C00021 + C00064 + C00025 + C00037 + C00135 + C00407 + C00123 + C00047 + C00073 + C00079 + C00148 + C00065 + C00188 + C00078 + C00082 + C00183 + C00020 + C00055 + C00144 + C00365 + C00131 + C00458 + C00286 + C00459 + C00461 + C01694 + C00157 + C00350 + C00249 + C01530 + C00712 + C01595 + C06427 + C00275 + C00984 + C00267 + CPD__45__10330 + C00002 + C00001 <=> C00008 + C00009 + BIOMASS		BIOMASS_formation	testGeneSymbol3	False
sbtabreact4	C00449 + C00006 + C00001 <=> C00025 + C04076 + C00005 + C00080	R02315		testGeneSymbol4	True
sbtabreact5	C15816 + C00005 + C00080 <=> C05103 + C00006	R07495		testGeneSymbol5	False
sbtabreact6	C05103 <=> C05437	R07496		testGeneSymbol6	False
sbtabreact7	C00019 + C05437 <=> C00021 + C04525	R04427		testGeneSymbol7	False
sbtabreact8	C04525 <=> C15777	R07497		testGeneSymbol8	False
sbtabreact9	C15777 + C00999 + C00007 + C00080 <=> C15778 + C00996 + C00001	R07505		testGeneSymbol9	False
sbtabreact10	C15778 + C00005 + C00080 + C00007 <=> C05440 + C00006 + C00001	R07506		testGeneSymbol10	False
sbtabreact11	C00251 + C00064 <=> C00080 + C00108 + C00025 + C00022		ANTHRANSYN__45__RXN	testGeneSymbol11	False
sbtabreact12	C00080 + C00606 <=> C00519 + C00011		SULFINOALANINE__45__DECARBOXYLASE__45__RXN	testGeneSymbol12	True
sbtabreact13	C00414 + C00005 + C00080 + C00007 <=> C01880 + C00006 + C00001		CYCLOHEXANONE__45__MONOOXYGENASE__45__RXN	testGeneSymbol13	False
sbtabreact14	C01054 <=> C01724		LANOSTEROL__45__SYNTHASE__45__RXN	testGeneSymbol14	True
sbtabreact15	CPD__45__15656 + C00001 <=> CPD__45__15657		RXN__45__14778	testGeneSymbol15	False
sbtabreact16	CPD__45__15661 + C00005 + C00080 <=> CPD__45__15655 + C00006		RXN__45__14790	testGeneSymbol16	False
sbtabreact17	CPD__45__15652 + C00003 <=> CPD__45__15676 + C00004 + C00080		RXN__45__14787	testGeneSymbol17	False
sbtabreact18	CPD__45__15675 + C00001 <=> CPD__45__15652		RXN__45__14786	testGeneSymbol18	False
sbtabreact19	CPD__45__15654 + C00005 + C00080 <=> CPD__45__15655 + C00006		RXN__45__14776	testGeneSymbol19	False
sbtabreact20	CPD__45__15653 + C00003 <=> CPD__45__15667 + C00004 + C00080		RXN__45__14773	testGeneSymbol20	False
sbtabreact21	CPD__45__15666 + C00001 <=> CPD__45__15653		RXN__45__14772	testGeneSymbol21	False
sbtabreact22	CPD__45__11525 + C00007 <=> CPD__45__11526 + C00027		RXN__45__10707	testGeneSymbol22	False
sbtabreact23	CPD__45__15690 + C00003 <=> CPD__45__15691 + C00004 + C00080		RXN__45__14802	testGeneSymbol23	False
sbtabreact24	CPD__45__15689 + C00001 <=> CPD__45__15690		RXN__45__14801	testGeneSymbol24	False
sbtabreact25	CPD__45__15677 + C00007 <=> CPD__45__15661 + C00027		RXN__45__14789	testGeneSymbol25	False
sbtabreact26	CPD__45__15686 + C00003 <=> CPD__45__15687 + C00004 + C00080		RXN__45__14798	testGeneSymbol26	False
sbtabreact27	CPD__45__15685 + C00001 <=> CPD__45__15686		RXN__45__14797	testGeneSymbol27	False
sbtabreact28	C00180 + C00007 + C00005 + C00080 <=> C00156 + C00001 + C00006		BENZOATE__45__4__45__MONOOXYGENASE__45__RXN	testGeneSymbol28	False
sbtabreact29	CPD__45__15684 + C00007 <=> CPD__45__15685 + C00027		RXN__45__14796	testGeneSymbol29	False
sbtabreact30	C00864 + C00002 <=> C00080 + C03492 + C00008		PANTOTHENATE__45__KIN__45__RXN	testGeneSymbol30	False
sbtabreact31	C00080 + C00966 + C00005 <=> C00522 + C00006		_2__45__DEHYDROPANTOATE__45__REDUCT__45__RXN	testGeneSymbol31	False
sbtabreact32	CPD__45__15637 + C00007 <=> CPD__45__15666 + C00027		RXN__45__14771	testGeneSymbol32	False
sbtabreact33	C06244 + C00001 <=> C00033 + C01342		RXN__45__14728	testGeneSymbol33	True
sbtabreact34	CPD__45__11517 + C00007 <=> CPD__45__11518 + C00027		RXN__45__10696	testGeneSymbol34	False
sbtabreact35	C01659 + C00001 <=> C01342 + C00511		R311__45__RXN	testGeneSymbol35	True
sbtabreact36	C16331 + C00007 <=> CPD__45__11522 + C00027		RXN__45__10706	testGeneSymbol36	False
sbtabreact37	C02693 + C00001 <=> C00954 + C01342		RXNN__45__404	testGeneSymbol37	True
sbtabreact38	CPD__45__15668 + C00007 <=> CPD__45__15654 + C00027		RXN__45__14775	testGeneSymbol38	False
sbtabreact39	C03078 + C00001 <=> C01342 + C01035		GUANIDINOBUTANAMIDE__45__NH3__45__RXN	testGeneSymbol39	False
sbtabreact40	CPD__45__15436 + C00007 <=> CPD0__45__1162 + C00027		RXN__45__14576	testGeneSymbol40	False
sbtabreact41	PROPIONAMIDE + C00001 <=> C00163 + C01342		RXN__45__14727	testGeneSymbol41	True
sbtabreact42	C01041 + C00004 <=> C00080 + C00072 + C00003		_1__46__6__46__5__46__4__45__RXN	testGeneSymbol42	True
sbtabreact43	CPD__45__15651 + C00007 <=> CPD__45__15675 + C00027		RXN__45__14785	testGeneSymbol43	False
sbtabreact44	C00029 <=> C00052		UDPGLUCEPIM__45__RXN	testGeneSymbol44	True
sbtabreact45	C06197 + C00001 <=> C00080 + C00020 + C00008		BIS5__45__ADENOSYL__45__TRIPHOSPHATASE__45__RXN	testGeneSymbol45	True
sbtabreact46	cis__45__5__45__enoyl__45__CoA + C00007 <=> trans__45__2__45__cis__45__5__45__dienoyl__45__CoA + C00027		RXN__45__12518	testGeneSymbol46	False
sbtabreact47	C00080 + C00078 + C00007 <=> C02700		RXN__45__8665	testGeneSymbol47	False
sbtabreact48	_3__45__hydroxy__45__cis__45__D7__45__tetraecenoyl__45__ACPs + C00006 <=> _3__45__oxo__45__cis__45__D7__45__tetradecenoyl__45__ACPs + C00005 + C00080		RXN__45__10655	testGeneSymbol48	True
