!!SBtab	SBtabVersion=’1.0’	TableType=’Reaction’	TableName=’K. brasiliensis SBTab Reaction Table’
!ID	!ReactionFormula	!Identifiers:kegg.reaction	!Identifiers:biocyc	!Gene:Symbol	!IsReversible
sbtabcomp1	C00006 + C04076 + C00001 <=> C00080 + C00005 + C00956	R03103		testGeneSymbol1	True
sbtabcomp2	C04076 + C00003 + C00001 <=> C00080 + C00004 + C00956	R03102		testGeneSymbol2	True
sbtabcomp3	C00041 + C00062 + C00152 + C00049 + C00021 + C00064 + C00025 + C00037 + C00135 + C00407 + C00123 + C00047 + C00073 + C00079 + C00148 + C00065 + C00188 + C00078 + C00082 + C00183 + C00020 + C00055 + C00144 + C00365 + C00131 + C00458 + C00286 + C00459 + C00461 + C01694 + C00157 + C00350 + C00249 + C01530 + C00712 + C01595 + C06427 + C00275 + C00984 + C00267 + CPD__45__10330 + C00002 + C00001 <=> C00008 + C00009 + BIOMASS		BIOMASS_formation	testGeneSymbol3	False
sbtabcomp4	C00449 + C00006 + C00001 <=> C00025 + C04076 + C00005 + C00080	R02315		testGeneSymbol4	True
sbtabcomp5	C15816 + C00005 + C00080 <=> C05103 + C00006	R07495		testGeneSymbol5	False
sbtabcomp6	C05103 <=> C05437	R07496		testGeneSymbol6	False
sbtabcomp7	C00019 + C05437 <=> C00021 + C04525	R04427		testGeneSymbol7	False
sbtabcomp8	C04525 <=> C15777	R07497		testGeneSymbol8	False
sbtabcomp9	C15777 + C00999 + C00007 + C00080 <=> C15778 + C00996 + C00001	R07505		testGeneSymbol9	False
sbtabcomp10	C15778 + C00005 + C00080 + C00007 <=> C05440 + C00006 + C00001	R07506		testGeneSymbol10	False
sbtabcomp11	C00251 + C00064 <=> C00080 + C00108 + C00025 + C00022		ANTHRANSYN__45__RXN	testGeneSymbol11	False
sbtabcomp12	C00080 + C00606 <=> C00519 + C00011		SULFINOALANINE__45__DECARBOXYLASE__45__RXN	testGeneSymbol12	True
sbtabcomp13	C00414 + C00005 + C00080 + C00007 <=> C01880 + C00006 + C00001		CYCLOHEXANONE__45__MONOOXYGENASE__45__RXN	testGeneSymbol13	False
sbtabcomp14	C01054 <=> C01724		LANOSTEROL__45__SYNTHASE__45__RXN	testGeneSymbol14	True
sbtabcomp15	CPD__45__15656 + C00001 <=> CPD__45__15657		RXN__45__14778	testGeneSymbol15	False
sbtabcomp16	CPD__45__15661 + C00005 + C00080 <=> CPD__45__15655 + C00006		RXN__45__14790	testGeneSymbol16	False
sbtabcomp17	CPD__45__15652 + C00003 <=> CPD__45__15676 + C00004 + C00080		RXN__45__14787	testGeneSymbol17	False
sbtabcomp18	CPD__45__15675 + C00001 <=> CPD__45__15652		RXN__45__14786	testGeneSymbol18	False
sbtabcomp19	CPD__45__15654 + C00005 + C00080 <=> CPD__45__15655 + C00006		RXN__45__14776	testGeneSymbol19	False
sbtabcomp20	CPD__45__15653 + C00003 <=> CPD__45__15667 + C00004 + C00080		RXN__45__14773	testGeneSymbol20	False
sbtabcomp21	CPD__45__15666 + C00001 <=> CPD__45__15653		RXN__45__14772	testGeneSymbol21	False
sbtabcomp22	CPD__45__11525 + C00007 <=> CPD__45__11526 + C00027		RXN__45__10707	testGeneSymbol22	False
sbtabcomp23	CPD__45__15690 + C00003 <=> CPD__45__15691 + C00004 + C00080		RXN__45__14802	testGeneSymbol23	False
sbtabcomp24	CPD__45__15689 + C00001 <=> CPD__45__15690		RXN__45__14801	testGeneSymbol24	False
sbtabcomp25	CPD__45__15677 + C00007 <=> CPD__45__15661 + C00027		RXN__45__14789	testGeneSymbol25	False
sbtabcomp26	CPD__45__15686 + C00003 <=> CPD__45__15687 + C00004 + C00080		RXN__45__14798	testGeneSymbol26	False
