IdentifierInModel	OriginalBiGGIdentifier	MetaboliteName	CreatedOrFixedBiGGIdentifier	RandomIdentifierPerlBoolean
C00234	10fthf	blank_description	10fthf	FALSE
C00641	12dgr_EC	blank_description	12dgr_EC	FALSE
C00236	13dpg	blank_description	13dpg	FALSE
C00681	1ag3p_SC	blank_description	1ag3p_SC	FALSE
C01235	1Dgali	blank_description	1Dgali	FALSE
C04281	1p3h5c	blank_description	1p3h5c	FALSE
C03912	1pyr5c	blank_description	1pyr5c	FALSE
C04272	23dhmb	blank_description	23dhmb	FALSE
C06007	23dhmp	blank_description	23dhmp	FALSE
C04823	25aics	blank_description	25aics	FALSE
C01304	25drapp	blank_description	25drapp	FALSE
C06006	2ahbut	blank_description	2ahbut	FALSE
C05125	2ahethmpp	blank_description	2ahethmpp	FALSE
C02218	2amac	blank_description	2amac	FALSE
C01302	2cpr5p	blank_description	2cpr5p	FALSE
C04691	2dda7p	blank_description	2dda7p	FALSE
C00966	2dhp	blank_description	2dhp	FALSE
C00673	2dr5p	blank_description	2dr5p	FALSE
C01179	2h34hppr	blank_description	2h34hppr	FALSE
C02631	2ippm	blank_description	2ippm	FALSE
C04752	2mahmp	blank_description	2mahmp	FALSE
C04225	2mcacn	blank_description	2mcacn	FALSE
C02225	2mcit	blank_description	2mcit	FALSE
C00109	2obut	blank_description	2obut	FALSE
C05811	2ohph	blank_description	2ohph	FALSE
C05813	2ombz	blank_description	2ombz	FALSE
C05814	2ommb	blank_description	2ommb	FALSE
C05812	2omph	blank_description	2omph	FALSE
C00322	2oxoadp	blank_description	2oxoadp	FALSE
C00631	2pg	blank_description	2pg	FALSE
C00942	35cgmp	blank_description	35cgmp	FALSE
C04411	3c2hmp	blank_description	3c2hmp	FALSE
C02504	3c3hmp	blank_description	3c3hmp	FALSE
C04236	3c4mop	blank_description	3c4mop	FALSE
C00944	3dhq	blank_description	3dhq	FALSE
C02637	3dhsk	blank_description	3dhsk	FALSE
C02934	3dsphgn	blank_description	3dsphgn	FALSE
C01271	3haACP	blank_description	3haACP	FALSE
C00640	3hacoa	blank_description	3hacoa	FALSE
C00632	3hanthrn	blank_description	3hanthrn	FALSE
C04618	3hbutACP	blank_description	3hbutACP	FALSE
C05757	3hddecACP	blank_description	3hddecACP	FALSE
C04619	3hdecACP	blank_description	3hdecACP	FALSE
C05747	3hhexACP	blank_description	3hhexACP	FALSE
C04181	3hmoa	blank_description	3hmoa	FALSE
C14463	3hmop	blank_description	3hmop	FALSE
C04688	3hmrsACP	blank_description	3hmrsACP	FALSE
C04620	3hoctACP	blank_description	3hoctACP	FALSE
C16217	3hodcoa	blank_description	3hodcoa	FALSE
C04633	3hpalmACP	blank_description	3hpalmACP	FALSE
C03506	3ig3p	blank_description	3ig3p	FALSE
C03069	3mb2coa	blank_description	3mb2coa	FALSE
C03231	3mgcoa	blank_description	3mgcoa	FALSE
C00141	3mob	blank_description	3mob	FALSE
C00671	3mop	blank_description	3mop	FALSE
C05756	3oddecACP	blank_description	3oddecACP	FALSE
C05753	3odecACP	blank_description	3odecACP	FALSE
C05746	3ohexACP	blank_description	3ohexACP	FALSE
C16216	3ohodcoa	blank_description	3ohodcoa	FALSE
C05759	3omrsACP	blank_description	3omrsACP	FALSE
C05750	3ooctACP	blank_description	3ooctACP	FALSE
C05762	3opalmACP	blank_description	3opalmACP	FALSE
C05809	3ophb	blank_description	3ophb	FALSE
C13425	3ophb_5	blank_description	3ophb_5	FALSE
C00197	3pg	blank_description	3pg	FALSE
C03232	3php	blank_description	3php	FALSE
C01269	3psme	blank_description	3psme	FALSE
C05645	42A3HP24DB	blank_description	42A3HP24DB	FALSE
C00334	4abut	blank_description	4abut	FALSE
C00555	4abutn	blank_description	4abutn	FALSE
C00568	4abz	blank_description	4abz	FALSE
C01279	4ahmmp	blank_description	4ahmmp	FALSE
C04556	4ampm	blank_description	4ampm	FALSE
C01252	4aphdob	blank_description	4aphdob	FALSE
C00156	4hbz	blank_description	4hbz	FALSE
C01157	4hpro_LT	blank_description	4hpro_LT	FALSE
C04294	4mhetz	blank_description	4mhetz	FALSE
C00233	4mop	blank_description	4mop	FALSE
C04327	4mpetz	blank_description	4mpetz	FALSE
C03082	4pasp	blank_description	4pasp	FALSE
C03492	4ppan	blank_description	4ppan	FALSE
C04732	4r5au	blank_description	4r5au	FALSE
C04751	5aizc	blank_description	5aizc	FALSE
C00430	5aop	blank_description	5aop	FALSE
C01143	5dpmev	blank_description	5dpmev	FALSE
C03479	5fthf	blank_description	5fthf	FALSE
C11821	5hiu	blank_description	5hiu	FALSE
C12248	5houdic	blank_description	5houdic	FALSE
C04188	5mdr1p	blank_description	5mdr1p	FALSE
C00170	5mta	blank_description	5mta	FALSE
C00440	5mthf	blank_description	5mthf	FALSE
C01107	5pmev	blank_description	5pmev	FALSE
C01300	6hmhpt	blank_description	6hmhpt	FALSE
C04807	6hmhptpp	blank_description	6hmhptpp	FALSE
C00345	6pgc	blank_description	6pgc	FALSE
C01236	6pgl	blank_description	6pgl	FALSE
C00332	aacoa	blank_description	aacoa	FALSE
C00033	ac	blank_description	ac	FALSE
C00164	acac	blank_description	acac	FALSE
C03939	acACP	blank_description	acACP	FALSE
C00084	acald	blank_description	acald	FALSE
C00024	accoa	blank_description	accoa	FALSE
C04133	acg5p	blank_description	acg5p	FALSE
C01250	acg5sa	blank_description	acg5sa	FALSE
C00140	acgam	blank_description	acgam	FALSE
C04501	acgam1p	blank_description	acgam1p	FALSE
C00357	acgam6p	blank_description	acgam6p	FALSE
C00624	acglu	blank_description	acglu	FALSE
C01077	achms	blank_description	achms	FALSE
C00040	acoa	blank_description	acoa	FALSE
C00417	acon_C	blank_description	acon_C	FALSE
C00437	acorn	blank_description	acorn	FALSE
C16736	ACP	Thiol-containing reductant	tcred	FALSE
C00229	ACP	blank_description	ACP	FALSE
C00145	ACP	Thiol	thiol	FALSE
C11482	ACP	Holo-Lys2	hlys2	FALSE
C00979	acser	blank_description	acser	FALSE
C05744	actACP	blank_description	actACP	FALSE
C06244	ad	blank_description	ad	FALSE
C00147	ade	blank_description	ade	FALSE
C00212	adn	blank_description	adn	FALSE
C00008	adp	blank_description	adp	FALSE
C00179	agm	blank_description	agm	FALSE
C00021	ahcys	blank_description	ahcys	FALSE
C04895	ahdt	blank_description	ahdt	FALSE
C04677	aicar	blank_description	aicar	FALSE
C03373	air	blank_description	air	FALSE
C00026	akg	blank_description	akg	FALSE
C00041	ala__L	blank_description	ala__L	FALSE
C00099	ala_B	blank_description	ala_B	FALSE
C06010	alac__S	blank_description	alac__S	FALSE
C00886	alatrna	blank_description	alatrna	FALSE
C00499	alltt	blank_description	alltt	FALSE
C01242	alpro	blank_description	alpro	FALSE
C00019	amet	blank_description	amet	FALSE
C01137	ametam	blank_description	ametam	FALSE
C00020	amp	blank_description	amp	FALSE
C00108	anth	blank_description	anth	FALSE
C03011	apep	blank_description	apep	FALSE
C03688	apoACP	blank_description	apoACP	FALSE
C02248	apocytc	blank_description	apocytc	FALSE
C00224	aps	blank_description	aps	FALSE
C00259	arab__L	blank_description	arab__L	FALSE
C00062	arg__L	blank_description	arg__L	FALSE
C03406	argsuc	blank_description	argsuc	FALSE
C02163	argtrna	blank_description	argtrna	FALSE
C00152	asn__L	blank_description	asn__L	FALSE
C03402	asntrna	blank_description	asntrna	FALSE
C00049	asp__L	blank_description	asp__L	FALSE
C00441	aspsa	blank_description	aspsa	FALSE
C02984	asptrna	blank_description	asptrna	FALSE
C00002	atp	blank_description	atp	FALSE
C00877	b2coa	blank_description	b2coa	FALSE
C00576	betald	blank_description	betald	FALSE
C05921	btamp	blank_description	btamp	FALSE
C00120	btn	blank_description	btn	FALSE
C06250	btnCCP	blank_description	btnCCP	FALSE
C04246	but2eACP	blank_description	but2eACP	FALSE
C05745	butACP	blank_description	butACP	FALSE
C00575	camp	blank_description	camp	FALSE
C04441	caphis	blank_description	caphis	FALSE
C02094	caro	blank_description	caro	FALSE
