!!SBtab SBtabVersion=’1.0’	TableName=’K. brasiliensis SBTab Compound Table’	TableType=’Compound’
!ID	!Name	!Identifiers:kegg.compound	!Identifiers:bigg.metabolite	!Identifiers:biocyc	!StructureFormula
sbtabcomp1	10-Formyltetrahydrofolate	C00234	10fthf		C20H23N7O7
sbtabcomp2	1,2-Diacyl-sn-glycerol	C00641	12dgr_EC		C5H6O5R2
sbtabcomp3	(R)-Propane-1,2-diol	C02912	12ppd__R		C3H8O2
sbtabcomp4	(S)-Propane-1,2-diol	C02917	12ppd__S		C3H8O2
sbtabcomp5	3-Phospho-D-glyceroyl phosphate	C00236	13dpg		C3H8O10P2
sbtabcomp6	Cadaverine	C01672	15dap		C5H14N2
sbtabcomp7	1-Aminocyclopropane-1-carboxylate	C01234	1acpc		C4H7NO2
sbtabcomp8	1-Acyl-sn-glycerol 3-phosphate	C00681	1ag3p_SC		C4H8O7PR
sbtabcomp9	1-Butanol	C06142	1btol		C4H10O
sbtabcomp10	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	C01235	1Dgali		C12H22O11
sbtabcomp11	1-Methylnicotinamide	C02918	1mncam		C7H9N2O
sbtabcomp12	L-1-Pyrroline-3-hydroxy-5-carboxylate	C04281	1p3h5c		C5H7NO3
sbtabcomp13	(S)-1-Pyrroline-5-carboxylate	C03912	1pyr5c		C5H7NO2
sbtabcomp14	2,3-Dihydroxybenzoate	C00196	23dhb		C7H6O4
sbtabcomp15	(R)-2,3-Dihydroxy-3-methylbutanoate	C04272	23dhmb		C5H10O4
sbtabcomp16	(R)-2,3-Dihydroxy-3-methylpentanoate	C06007	23dhmp		C6H12O4
sbtabcomp17	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	C04823	25aics		C13H19N4O12P
sbtabcomp18	2,5-Didehydro-D-gluconate	C02780	25dkglcn		C6H8O7
sbtabcomp19	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	C01304	25drapp		C9H16N5O8P
sbtabcomp20	(S)-2-Aceto-2-hydroxybutanoate	C06006	2ahbut		C6H10O4
sbtabcomp21	2-(alpha-Hydroxyethyl)thiamine diphosphate	C05125	2ahethmpp		C14H23N4O8P2S
sbtabcomp22	Dehydroalanine	C02218	2amac		C3H5NO2
sbtabcomp23	2-Aminomalonate semialdehyde	C11822	2amsa		C3H5NO3
sbtabcomp24	cis-2-Hydroxycinnamate	C05838	2coum		C9H8O3
sbtabcomp25	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	C01302	2cpr5p		C12H16NO9P
sbtabcomp26	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	C04691	2dda7p		C7H13O10P
sbtabcomp27	2-Deoxy-D-gluconate	C02782	2dglcn		C6H12O6
sbtabcomp28	2-Keto-D-gluconic acid	C06473	2dhglcn		C6H10O7
sbtabcomp29	2-Dehydropantoate	C00966	2dhp		C6H10O4
sbtabcomp30	2-Deoxy-D-ribose 5-phosphate	C00673	2dr5p		C5H11O7P
sbtabcomp31	3-(4-Hydroxyphenyl)pyruvate	C01179	2h34hppr		C9H8O4
sbtabcomp32	2-Hydroxy-3-oxopropanoate	C01146	2h3oppan		C3H4O4
sbtabcomp33	Salicyl alcohol	C02323	2hymeph		C7H8O2
sbtabcomp34	2-Isopropylmaleate	C02631	2ippm		C7H10O4
sbtabcomp35	2-Methylacetoacetyl-CoA	C03344	2maacoa		C26H42N7O18P3S
sbtabcomp36	4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate	C04752	2mahmp		C6H11N3O7P2
sbtabcomp37	2-Methylbut-2-enoyl-CoA	C03345	2mb2coa		C26H42N7O17P3S
sbtabcomp38	2-Methylbutanal	C02223	2mbald		C5H10O
sbtabcomp39	(Z)-But-2-ene-1,2,3-tricarboxylate	C04225	2mcacn		C7H8O6
sbtabcomp40	2-Methylcitrate	C02225	2mcit		C7H10O7
sbtabcomp41	2-Methylprop-2-enoyl-CoA	C03460	2mp2coa		C25H40N7O17P3S
sbtabcomp42	2-Oxobutanoate	C00109	2obut		C4H6O3
sbtabcomp43	2-Octaprenyl-6-hydroxyphenol	C05811	2ohph		C46H70O2
sbtabcomp44	2-Octaprenyl-6-methoxy-1,4-benzoquinone	C05813	2ombz		C47H70O3
sbtabcomp45	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	C05814	2ommb		C48H72O3
