!!SBtab	SBtabVersion=’1.0’	TableType=’Reaction’	TableName=’K. brasiliensis SBTab Reaction Table’
!ID	!ReactionFormula	!Identifiers:kegg.reaction	!Identifiers:biocyc	!Gene:Symbol	!IsReversible	!SBML:reaction:id
sbtabreact1	C00006 + C04076 + C00001 <=> C00080 + C00005 + C00956	R03103		testGeneSymbol1	True	sbtabreact1
sbtabreact2	C04076 + C00003 + C00001 <=> C00080 + C00004 + C00956	R03102		testGeneSymbol2	True	sbtabreact2
sbtabreact3	C00041 + C00062 + C00152 + C00049 + C00021 + C00064 + C00025 + C00037 + C00135 + C00407 + C00123 + C00047 + C00073 + C00079 + C00148 + C00065 + C00188 + C00078 + C00082 + C00183 + C00020 + C00055 + C00144 + C00365 + C00131 + C00458 + C00286 + C00459 + C00461 + C01694 + C00157 + C00350 + C00249 + C01530 + C00712 + C01595 + C06427 + C00275 + C00984 + C00267 + CPD__45__10330 + C00002 + C00001 <=> C00008 + C00009 + BIOMASS		BIOMASS_formation	testGeneSymbol3	False	sbtabreact3
sbtabreact4	C00449 + C00006 + C00001 <=> C00025 + C04076 + C00005 + C00080	R02315		testGeneSymbol4	True	sbtabreact4
sbtabreact5	C15816 + C00005 + C00080 <=> C05103 + C00006	R07495		testGeneSymbol5	False	sbtabreact5
sbtabreact6	C05103 <=> C05437	R07496		testGeneSymbol6	False	sbtabreact6
sbtabreact7	C00019 + C05437 <=> C00021 + C04525	R04427		testGeneSymbol7	False	sbtabreact7
sbtabreact8	C04525 <=> C15777	R07497		testGeneSymbol8	False	sbtabreact8
sbtabreact9	C15777 + C00999 + C00007 + C00080 <=> C15778 + C00996 + C00001	R07505		testGeneSymbol9	False	sbtabreact9
sbtabreact10	C15778 + C00005 + C00080 + C00007 <=> C05440 + C00006 + C00001	R07506		testGeneSymbol10	False	sbtabreact10
sbtabreact11	C00251 + C00064 <=> C00080 + C00108 + C00025 + C00022		ANTHRANSYN__45__RXN	testGeneSymbol11	False	sbtabreact11
sbtabreact12	C00080 + C00606 <=> C00519 + C00011		SULFINOALANINE__45__DECARBOXYLASE__45__RXN	testGeneSymbol12	True	sbtabreact12
sbtabreact13	C00414 + C00005 + C00080 + C00007 <=> C01880 + C00006 + C00001		CYCLOHEXANONE__45__MONOOXYGENASE__45__RXN	testGeneSymbol13	False	sbtabreact13
sbtabreact14	C01054 <=> C01724		LANOSTEROL__45__SYNTHASE__45__RXN	testGeneSymbol14	True	sbtabreact14
sbtabreact15	CPD__45__15656 + C00001 <=> CPD__45__15657		RXN__45__14778	testGeneSymbol15	False	sbtabreact15
sbtabreact16	CPD__45__15661 + C00005 + C00080 <=> CPD__45__15655 + C00006		RXN__45__14790	testGeneSymbol16	False	sbtabreact16
sbtabreact17	CPD__45__15652 + C00003 <=> CPD__45__15676 + C00004 + C00080		RXN__45__14787	testGeneSymbol17	False	sbtabreact17
sbtabreact18	CPD__45__15675 + C00001 <=> CPD__45__15652		RXN__45__14786	testGeneSymbol18	False	sbtabreact18
sbtabreact19	CPD__45__15654 + C00005 + C00080 <=> CPD__45__15655 + C00006		RXN__45__14776	testGeneSymbol19	False	sbtabreact19
sbtabreact20	CPD__45__15653 + C00003 <=> CPD__45__15667 + C00004 + C00080		RXN__45__14773	testGeneSymbol20	False	sbtabreact20
sbtabreact21	CPD__45__15666 + C00001 <=> CPD__45__15653		RXN__45__14772	testGeneSymbol21	False	sbtabreact21
sbtabreact22	CPD__45__11525 + C00007 <=> CPD__45__11526 + C00027		RXN__45__10707	testGeneSymbol22	False	sbtabreact22
sbtabreact23	CPD__45__15690 + C00003 <=> CPD__45__15691 + C00004 + C00080		RXN__45__14802	testGeneSymbol23	False	sbtabreact23
sbtabreact24	CPD__45__15689 + C00001 <=> CPD__45__15690		RXN__45__14801	testGeneSymbol24	False	sbtabreact24
sbtabreact25	CPD__45__15677 + C00007 <=> CPD__45__15661 + C00027		RXN__45__14789	testGeneSymbol25	False	sbtabreact25
sbtabreact26	CPD__45__15686 + C00003 <=> CPD__45__15687 + C00004 + C00080		RXN__45__14798	testGeneSymbol26	False	sbtabreact26
sbtabreact27	CPD__45__15685 + C00001 <=> CPD__45__15686		RXN__45__14797	testGeneSymbol27	False	sbtabreact27
sbtabreact28	C00180 + C00007 + C00005 + C00080 <=> C00156 + C00001 + C00006		BENZOATE__45__4__45__MONOOXYGENASE__45__RXN	testGeneSymbol28	False	sbtabreact28
sbtabreact29	CPD__45__15684 + C00007 <=> CPD__45__15685 + C00027		RXN__45__14796	testGeneSymbol29	False	sbtabreact29
sbtabreact30	C00864 + C00002 <=> C00080 + C03492 + C00008		PANTOTHENATE__45__KIN__45__RXN	testGeneSymbol30	False	sbtabreact30
sbtabreact31	C00080 + C00966 + C00005 <=> C00522 + C00006		_2__45__DEHYDROPANTOATE__45__REDUCT__45__RXN	testGeneSymbol31	False	sbtabreact31
sbtabreact32	CPD__45__15637 + C00007 <=> CPD__45__15666 + C00027		RXN__45__14771	testGeneSymbol32	False	sbtabreact32
sbtabreact33	C06244 + C00001 <=> C00033 + C01342		RXN__45__14728	testGeneSymbol33	True	sbtabreact33
sbtabreact34	CPD__45__11517 + C00007 <=> CPD__45__11518 + C00027		RXN__45__10696	testGeneSymbol34	False	sbtabreact34
sbtabreact35	C01659 + C00001 <=> C01342 + C00511		R311__45__RXN	testGeneSymbol35	True	sbtabreact35
sbtabreact36	C16331 + C00007 <=> CPD__45__11522 + C00027		RXN__45__10706	testGeneSymbol36	False	sbtabreact36
sbtabreact37	C02693 + C00001 <=> C00954 + C01342		RXNN__45__404	testGeneSymbol37	True	sbtabreact37
sbtabreact38	CPD__45__15668 + C00007 <=> CPD__45__15654 + C00027		RXN__45__14775	testGeneSymbol38	False	sbtabreact38
sbtabreact39	C03078 + C00001 <=> C01342 + C01035		GUANIDINOBUTANAMIDE__45__NH3__45__RXN	testGeneSymbol39	False	sbtabreact39
sbtabreact40	CPD__45__15436 + C00007 <=> CPD0__45__1162 + C00027		RXN__45__14576	testGeneSymbol40	False	sbtabreact40
sbtabreact41	PROPIONAMIDE + C00001 <=> C00163 + C01342		RXN__45__14727	testGeneSymbol41	True	sbtabreact41
sbtabreact42	C01041 + C00004 <=> C00080 + C00072 + C00003		_1__46__6__46__5__46__4__45__RXN	testGeneSymbol42	True	sbtabreact42
sbtabreact43	CPD__45__15651 + C00007 <=> CPD__45__15675 + C00027		RXN__45__14785	testGeneSymbol43	False	sbtabreact43
sbtabreact44	C00029 <=> C00052		UDPGLUCEPIM__45__RXN	testGeneSymbol44	True	sbtabreact44
